,Name,size,MRP,price,url
149,Allen Derma Plus Cream,tube of 25 gm Cream,₹90,₹73,/otc/allen-derma-plus-cream-otc330458
150,Dr Willmar Schwabe India Arnica Montana Mother Tincture Q,bottle of 30 ml Mother Tincture,₹210,₹174,/otc/dr-willmar-schwabe-india-arnica-montana-mother-tincture-q-otc390782
151,ADEL 28 Plevent Drop,bottle of 20 ml Drop,₹295,₹259,/otc/adel-28-plevent-drop-otc326092
152,SBL Aspidosperma Quebracho Mother Tincture Q,bottle of 30 ml Mother Tincture,₹210,₹150,/otc/sbl-aspidosperma-quebracho-mother-tincture-q-otc338516
153,Dr Willmar Schwabe India Chelidonium Majus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹142,₹117,/otc/dr-willmar-schwabe-india-chelidonium-majus-mother-tincture-q-otc390853
154,Dr Willmar Schwabe India Munostim Globules,bottle of 10 gm Globules,₹120,₹100,/otc/dr-willmar-schwabe-india-munostim-globules-otc326148
155,ADEL 18 Glucorect Drop,bottle of 20 ml Drop,₹295,₹246,/otc/adel-18-glucorect-drop-otc327731
156,SBL Pulsatilla Nigricans Dilution 200 CH,bottle of 30 ml Dilution,₹100,₹83,/otc/sbl-pulsatilla-nigricans-dilution-200-ch-otc338189
157,SBL Carduus Marianus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹140,₹114,/otc/sbl-carduus-marianus-mother-tincture-q-otc338507
158,SBL Cephalandra Indica Mother Tincture Q,bottle of 30 ml Mother Tincture,₹100,₹83,/otc/sbl-cephalandra-indica-mother-tincture-q-otc338504
159,SBL Histaminum Dilution 200 CH,bottle of 30 ml Dilution,₹100,₹83,/otc/sbl-histaminum-dilution-200-ch-otc348944
160,SBL Sabal Serrulata Dilution 30 CH,bottle of 30 ml Dilution,₹95,₹79,/otc/sbl-sabal-serrulata-dilution-30-ch-otc348627
161,SBL Drops No. 4 (For BP),bottle of 30 ml Drop,₹175,₹142,/otc/sbl-drops-no.-4-for-bp-otc329038
162,Dr. Reckeweg R6 Influenza Drop,bottle of 22 ml Drop,₹270,₹227,/otc/dr.-reckeweg-r6-influenza-drop-otc326076
163,SBL Cholesterinum Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,₹165,₹137,/otc/sbl-cholesterinum-trituration-tablet-3x-otc339005
164,SBL Nixocid Syrup,bottle of 500 ml Syrup,₹290,₹249,/otc/sbl-nixocid-syrup-otc325887
165,New Life Bach Flower Rescue Remedy 30,bottle of 100 ml Dilution,₹200,₹180,/otc/new-life-bach-flower-rescue-remedy-30-otc701188
166,Dr Willmar Schwabe India Withania Somnifera (Aswagandha) Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹89,/otc/dr-willmar-schwabe-india-withania-somnifera-aswagandha-mother-tincture-q-otc391463
167,SBL Arsenicum Album Dilution 200 CH,bottle of 30 ml Dilution,₹100,₹84,/otc/sbl-arsenicum-album-dilution-200-ch-otc345914
168,SBL Natrum Muriaticum Dilution 30 CH,bottle of 30 ml Dilution,₹90,₹76,/otc/sbl-natrum-muriaticum-dilution-30-ch-otc338310
